location,time,plot,treatment,meters,position,horizontal,x,y,z 
south,t0,17,Mu,-5,a,3,146071.521,583872.056,-0.306
south,t0,17,Mu,-1,b,3,146070.53,583875.679,-0.291
south,t0,17,Mu,-0.1,c,3,146070.14,583876.486,-0.301
south,t0,17,Mu,0.23,d,3,146070.028,583876.755,-0.127
south,t0,17,Mu,0.55,e,3,146069.833,583876.981,-0.31
south,t0,17,Mu,1.7,f,3,146069.442,583878.139,-0.319
south,t0,17,Mu,2.9,g,3,146069.057,583879.305,-0.311
south,t0,17,Mu,3.23,h,3,146068.989,583879.532,-0.313
south,t0,17,Mu,3.55,i,3,146068.85,583879.86,-0.312
south,t0,17,Mu,4.7,j,3,146068.477,583880.991,-0.31
south,t0,17,Mu,5.9,k,3,146068.13,583882.071,-0.294
south,t0,17,Mu,6.23,l,3,146068.04,583882.338,-0.121
south,t0,17,Mu,6.55,m,3,146067.923,583882.65,-0.301
south,t0,17,Mu,7.7,n,3,146067.544,583883.82,-0.304
south,t0,17,Mu,8.9,o,3,146067.071,583884.886,-0.3
south,t0,17,Mu,9.23,p,3,146066.968,583885.173,-0.284
south,t0,17,Mu,9.55,q,3,146066.864,583885.463,-0.288
south,t0,17,Mu,10.45,r,3,146066.554,583886.37,-0.279
south,t0,17,Mu,11.35,s,3,146066.286,583887.205,-0.285
south,t0,17,Mu,11.55,t,3,146066.323,583887.451,-0.274
south,t0,17,Mu,13.2,u,3,146065.731,583888.994,-0.283
south,t0,17,Mu,13.85,v,3,146065.534,583889.611,-0.277
south,t0,17,Mu,14.05,w,3,146065.48,583889.806,-0.276
south,t0,17,Mu,15,x,3,146065.209,583890.708,-0.269
south,t0,17,Mu,16,y,3,146065.336,583891.647,-0.278
south,t0,17,Mu,17,z,3,146065.234,583892.848,-0.264
south,t0,17,Mu,18,aa,3,146064.805,583893.848,-0.283
south,t0,17,Mu,19,ab,3,146064.372,583894.758,-0.261
south,t0,17,Mu,20,ac,3,146064.014,583895.745,-0.258
south,t0,17,Mu,30,ad,3,146061.278,583904.268,-0.26
south,t0,17,Mu,40,ae,3,146058.379,583912.862,-0.233
south,t0,17,Mu,50,af,3,146055.466,583921.722,-0.221
south,t0,17,Mu,60,ag,3,146052.409,583930.411,-0.207
south,t0,17,Mu,70,ah,3,146049.302,583939.333,-0.196
south,t0,17,Mu,80,ai,3,146046.271,583948.702,-0.168
south,t0,17,Mu,90,aj,3,146043.292,583957.48,-0.158
south,t0,17,Mu,100,ak,3,146040.218,583966.278,-0.146
south,t0,17,Mu,110,al,3,146036.351,583975.43,-0.122
south,t0,18,Control,-5,a,3,146033.887,583858.08,-0.299
south,t0,18,Control,-0.1,c,3,146031.935,583862.663,-0.304
south,t0,18,Control,4.7,j,3,146029.751,583867.222,-0.301
south,t0,18,Control,9.55,q,3,146027.782,583871.642,-0.287
south,t0,18,Control,20,ac,3,146023.895,583881.815,-0.257
south,t0,18,Control,50,af,3,146013.998,583910.285,-0.237
south,t0,18,Control,110,al,3,145996.521,583961.672,-0.147
south,t0,19,Control,-5,a,3,145995.23,583845.232,-0.284
south,t0,19,Control,-0.1,c,3,145993.766,583849.422,-0.275
south,t0,19,Control,4.7,j,3,145991.809,583854.097,-0.272
south,t0,19,Control,9.55,q,3,145990.056,583858.619,-0.277
south,t0,19,Control,20,ac,3,145986.794,583868.73,-0.264
south,t0,19,Control,50,al,3,145956.906,583947.667,-0.157
south,t0,19,Control,110,af,3,145971.728,583908.56,-0.21
