location,time,plot,treatment,position,meters ,x,y,z
nmb,t0,33,NMB,1,-5,146370.927,583715.269,-0.78
nmb,t0,33,NMB,2,-1,146370.259,583716.526,-0.712
nmb,t0,33,NMB,3,-0.1,146361.569,583728.831,-0.511
nmb,t0,33,NMB,4,0,146355.228,583736.903,-0.545
nmb,t0,33,NMB,5,0.1,146354.597,583737.774,-0.566
nmb,t0,33,NMB,6,1,146355.756,583738.604,-0.584
nmb,t0,33,NMB,7,5,146354.078,583738.662,-0.553
nmb,t0,33,NMB,8,15,146352.44,583738.824,-0.508
nmb,t0,33,NMB,9,25,146353.475,583740.288,-0.587
nmb,t0,33,NMB,10,35,146351.411,583744.267,-0.562
nmb,t0,33,NMB,11,45,146348.44,583748.307,-0.587
nmb,t0,33,NMB,12,55,146342.553,583755.429,-0.608
nmb,t0,34,NMB,1,-5,146368.385,583703.182,-0.746
nmb,t0,34,NMB,2,-1,146366.761,583704.15,-0.705
nmb,t0,34,NMB,3,-0.1,146354.758,583708.779,-0.508
nmb,t0,34,NMB,4,0,146337.84,583724.809,-0.516
nmb,t0,34,NMB,5,0.1,146335.64,583725.914,-0.59
nmb,t0,34,NMB,6,1,146336.41,583728.759,-0.587
nmb,t0,34,NMB,7,5,146335.536,583727.209,-0.53
nmb,t0,34,NMB,8,15,146334.07,583724.022,-0.592
nmb,t0,34,NMB,9,25,146333.688,583727.165,-0.612
nmb,t0,34,NMB,10,35,146330.22,583728.938,-0.642
nmb,t0,34,NMB,11,45,146326.213,583733.185,-0.638
nmb,t0,34,NMB,12,55,146319.644,583740.878,-0.63
nmb,t0,35,NMB,1,-5,146349.188,583680.017,-0.849
nmb,t0,35,NMB,2,-1,146348.469,583680.841,-0.78
nmb,t0,35,NMB,3,-0.1,146334.673,583696.064,-0.517
nmb,t0,35,NMB,4,0,146323.67,583710.112,-0.526
nmb,t0,35,NMB,5,0.1,146320.874,583712.872,-0.603
nmb,t0,35,NMB,6,1,146322.761,583715.646,-0.608
nmb,t0,35,NMB,7,5,146321.165,583713.745,-0.6
nmb,t0,35,NMB,8,15,146319.263,583711.76,-0.532
nmb,t0,35,NMB,9,25,146319.302,583714.149,-0.614
nmb,t0,35,NMB,10,35,146316.099,583717.211,-0.639
nmb,t0,35,NMB,11,45,146312.626,583722.324,-0.657
nmb,t0,35,NMB,12,55,146306.294,583729.535,-0.649
nmb,t0,36,NMB,1,-5,146342.35,583678.344,-0.863
nmb,t0,36,NMB,2,-1,146341.53,583679.264,-0.812
nmb,t0,36,NMB,3,-0.1,146330.927,583689.508,-0.563
nmb,t0,36,NMB,4,0,146316.205,583704.382,-0.502
nmb,t0,36,NMB,5,0.1,146313.813,583706.555,-0.565
nmb,t0,36,NMB,7,5,146313.032,583706.746,-0.549
nmb,t0,36,NMB,8,15,146311.113,583704.633,-0.617
nmb,t0,36,NMB,9,25,146310.884,583707.788,-0.632
nmb,t0,36,NMB,10,35,146307.822,583711.402,-0.644
nmb,t0,36,NMB,11,45,146304.234,583715.331,-0.655
nmb,t0,36,NMB,12,55,146297.326,583722.497,-0.648
nmb,t0,36,NMB,6,1,146314.846,583708.521,-0.632
nmb,t0,37,control,1,-5,146154.043,583703.165,-0.622
nmb,t0,37,control,5,0.1,146150.814,583706.411,-0.611
nmb,t0,37,control,6,1,146151.787,583709.073,-0.603
nmb,t0,37,control,7,5,146149.951,583707.29,-0.57
nmb,t0,37,control,8,15,146148.078,583705.319,-0.54
nmb,t0,37,control,9,25,146148.464,583709.115,-0.572
nmb,t0,37,control,10,35,146146.458,583712.521,-0.568
nmb,t0,37,control,11,45,146143.776,583716.661,-0.569
nmb,t0,37,control,12,55,146138.361,583724.654,-0.552
nmb,t0,38,control,1,-5,146132.533,583684.164,-0.603
nmb,t0,38,control,5,0.1,146130.133,583688.274,-0.597
nmb,t0,38,control,6,1,146131.588,583690.882,-0.59
nmb,t0,38,control,7,5,146129.447,583689.223,-0.608
nmb,t0,38,control,8,15,146127.477,583687.832,-0.54
nmb,t0,38,control,9,25,146127.96,583691.728,-0.601
nmb,t0,38,control,10,35,146126.312,583695.327,-0.59
nmb,t0,38,control,11,45,146123.395,583699.422,-0.573
nmb,t0,38,control,12,55,146118.125,583707.686,-0.57
nmb,t0,39,control,1,-5,146105.893,583663.946,-0.632
nmb,t0,39,control,5,0.1,146103.21,583667.661,-0.625
nmb,t0,39,control,6,1,146104.929,583670.564,-0.571
nmb,t0,39,control,7,5,146102.212,583668.551,-0.625
nmb,t0,39,control,8,15,146100.36,583667.368,-0.592
nmb,t0,39,control,9,25,146101.83,583671.222,-0.632
nmb,t0,39,control,10,35,146099.287,583675.065,-0.617
nmb,t0,39,control,11,45,146096.793,583679.866,-0.613
nmb,t0,39,control,12,55,146096.79,583679.86,-0.601
nmb,t0,40,control,1,-5,146092.067,583654.826,-0.623
nmb,t0,40,control,5,0.1,146090.064,583659.829,-0.634
nmb,t0,40,control,6,1,146091.729,583662.074,-0.555
nmb,t0,40,control,7,5,146089.373,583660.571,-0.64
nmb,t0,40,control,8,15,146086.905,583659.384,-0.61
nmb,t0,40,control,9,25,146088.631,583663.208,-0.616
nmb,t0,40,control,10,35,146087.079,583667.027,-0.61
nmb,t0,40,control,11,45,146085.024,583671.698,-0.601
nmb,t0,40,control,12,55,146078.781,583678.471,-0.581
