location,time,plot,treatment,meters,position,horizontal,x,y,z
south,t1,17,Mu,-5,a,1,146080.509,583874.561,-0.37
south,t1,17,Mu,-5,a,2,146077.621,583873.014,-0.34
south,t1,17,Mu,-5,a,3,146072.237,583870.849,-0.337
south,t1,17,Mu,-5,a,4,146067.107,583869.015,-0.351
south,t1,17,Mu,-5,a,5,146063.839,583867.748,-0.332
south,t1,17,Mu,-1,b,1,146079.216,583878.768,-0.343
south,t1,17,Mu,-1,b,2,146075.95,583877.192,-0.342
south,t1,17,Mu,-1,b,3,146070.426,583875.42,-0.352
south,t1,17,Mu,-1,b,4,146064.985,583873.797,-0.352
south,t1,17,Mu,-1,b,5,146061.243,583872.432,-0.348
south,t1,17,Mu,-0.1,c,1,146078.757,583879.529,-0.327
south,t1,17,Mu,-0.1,c,2,146075.314,583878.38,-0.361
south,t1,17,Mu,-0.1,c,3,146070.022,583876.341,-0.337
south,t1,17,Mu,-0.1,c,4,146064.626,583874.546,-0.333
south,t1,17,Mu,-0.1,c,5,146061.158,583873.211,-0.341
south,t1,17,Mu,0.23,d,1,146078.649,583879.912,-0.145
south,t1,17,Mu,0.23,d,2,146075.239,583878.731,-0.141
south,t1,17,Mu,0.23,d,3,146069.921,583876.65,-0.135
south,t1,17,Mu,0.23,d,4,146064.453,583874.791,-0.137
south,t1,17,Mu,0.23,d,5,146061.034,583873.492,-0.15
south,t1,17,Mu,0.55,e,1,146078.522,583880.211,-0.341
south,t1,17,Mu,0.55,e,2,146075.075,583879.068,-0.334
south,t1,17,Mu,0.55,e,3,146069.738,583877.008,-0.314
south,t1,17,Mu,0.55,e,4,146064.383,583875.157,-0.315
south,t1,17,Mu,0.55,e,5,146060.913,583873.862,-0.309
south,t1,17,Mu,1.7,f,1,146078.241,583881.295,-0.311
south,t1,17,Mu,1.7,f,2,146074.701,583880.078,-0.311
south,t1,17,Mu,1.7,f,3,146069.313,583878.185,-0.344
south,t1,17,Mu,1.7,f,4,146063.944,583876.17,-0.348
south,t1,17,Mu,1.7,f,5,146060.523,583874.884,-0.321
south,t1,17,Mu,2.9,g,1,146077.707,583882.275,-0.321
south,t1,17,Mu,2.9,g,2,146074.064,583881.065,-0.335
south,t1,17,Mu,2.9,g,3,146069.146,583879.29,-0.35
south,t1,17,Mu,2.9,g,4,146063.906,583877.382,-0.349
south,t1,17,Mu,2.9,g,5,146060.375,583875.983,-0.325
south,t1,17,Mu,3.23,h,1,146077.521,583882.677,-0.306
south,t1,17,Mu,3.23,h,2,146073.983,583881.404,-0.127
south,t1,17,Mu,3.23,h,3,146069.001,583879.571,-0.333
south,t1,17,Mu,3.23,h,4,146063.756,583877.6,-0.133
south,t1,17,Mu,3.23,h,5,146060.127,583876.33,-0.305
south,t1,17,Mu,3.55,i,1,146077.557,583882.962,-0.308
south,t1,17,Mu,3.55,i,2,146073.847,583881.791,-0.326
south,t1,17,Mu,3.55,i,3,146068.906,583880.137,-0.33
south,t1,17,Mu,3.55,i,4,146063.606,583878.023,-0.308
south,t1,17,Mu,3.55,i,5,146060.109,583876.716,-0.311
south,t1,17,Mu,4.7,j,1,146077.389,583883.886,-0.329
south,t1,17,Mu,4.7,j,2,146073.69,583882.591,-0.32
south,t1,17,Mu,4.7,j,3,146068.406,583880.962,-0.347
south,t1,17,Mu,4.7,j,4,146063.133,583879.196,-0.302
south,t1,17,Mu,4.7,j,5,146059.885,583878.02,-0.309
south,t1,17,Mu,5.9,k,1,146076.861,583884.894,-0.286
south,t1,17,Mu,5.9,k,2,146073.427,583883.774,-0.298
south,t1,17,Mu,5.9,k,3,146068.179,583881.986,-0.309
south,t1,17,Mu,5.9,k,4,146062.981,583880.209,-0.304
south,t1,17,Mu,5.9,k,5,146059.508,583878.962,-0.312
south,t1,17,Mu,6.23,l,1,146076.78,583885.215,-0.139
south,t1,17,Mu,6.23,l,2,146073.232,583884.09,-0.145
south,t1,17,Mu,6.23,l,3,146068.101,583882.318,-0.13
south,t1,17,Mu,6.23,l,4,146062.924,583880.479,-0.135
south,t1,17,Mu,6.23,l,5,146059.526,583879.237,-0.137
south,t1,17,Mu,6.55,m,1,146076.687,583885.574,-0.311
south,t1,17,Mu,6.55,m,2,146073.103,583884.415,-0.318
south,t1,17,Mu,6.55,m,4,146062.766,583880.907,-0.304
south,t1,17,Mu,6.55,m,5,146059.325,583879.655,-0.293
south,t1,17,Mu,7.7,n,1,146076.251,583886.858,-0.287
south,t1,17,Mu,7.7,n,2,146072.858,583885.62,-0.298
south,t1,17,Mu,7.7,n,4,146062.451,583881.892,-0.275
south,t1,17,Mu,7.7,n,5,146058.792,583880.678,-0.276
south,t1,17,Mu,8.9,o,1,146075.953,583887.843,-0.283
south,t1,17,Mu,8.9,o,2,146072.238,583886.675,-0.251
south,t1,17,Mu,8.9,o,4,146062.051,583882.925,-0.281
south,t1,17,Mu,8.9,o,5,146058.416,583881.519,-0.274
south,t1,17,Mu,9.23,p,1,146075.701,583888.141,-0.285
south,t1,17,Mu,9.23,p,2,146072.241,583886.886,-0.105
south,t1,17,Mu,9.23,p,4,146062.053,583883.24,-0.113
south,t1,17,Mu,9.23,p,5,146058.416,583881.896,-0.294
south,t1,17,Mu,9.55,q,1,146075.806,583888.484,-0.297
south,t1,17,Mu,9.55,q,2,146072.101,583887.423,-0.273
south,t1,17,Mu,9.55,q,4,146061.874,583883.535,-0.268
south,t1,17,Mu,9.55,q,5,146058.537,583882.453,-0.275
south,t1,17,Mu,10.45,r,1,146075.343,583889.593,-0.303
south,t1,17,Mu,10.45,r,2,146071.984,583888.261,-0.272
south,t1,17,Mu,10.45,r,4,146061.369,583884.359,-0.275
south,t1,17,Mu,10.45,r,5,146058.146,583883.608,-0.295
south,t1,17,Mu,11.35,s,1,146074.927,583890.022,-0.31
south,t1,17,Mu,11.35,s,2,146071.717,583889.027,-0.279
south,t1,17,Mu,11.35,s,4,146061.258,583885.237,-0.3
south,t1,17,Mu,11.35,s,5,146057.966,583883.918,-0.323
south,t1,17,Mu,11.55,t,1,146074.909,583890.511,-0.324
south,t1,17,Mu,11.55,t,2,146071.571,583889.694,-0.297
south,t1,17,Mu,11.55,t,4,146061.119,583885.72,-0.3
south,t1,17,Mu,11.55,t,5,146057.981,583884.594,-0.298
south,t1,17,Mu,13.2,u,1,146074.245,583892.137,-0.335
south,t1,17,Mu,13.2,u,2,146071.381,583890.99,-0.307
south,t1,17,Mu,13.2,u,4,146060.907,583886.792,-0.306
south,t1,17,Mu,13.2,u,5,146057.658,583885.745,-0.285
south,t1,17,Mu,13.85,v,1,146074.827,583893.144,-0.291
south,t1,17,Mu,13.85,v,2,146071.209,583891.802,-0.283
south,t1,17,Mu,13.85,v,4,146060.491,583887.654,-0.263
south,t1,17,Mu,13.85,v,5,146057.357,583886.725,-0.264
south,t1,17,Mu,14.05,w,1,146074.526,583892.873,-0.278
south,t1,17,Mu,14.05,w,2,146071.062,583891.498,-0.27
south,t1,17,Mu,14.05,w,4,146060.221,583888.187,-0.268
south,t1,17,Mu,14.05,w,5,146056.849,583887.116,-0.273
south,t1,17,Mu,15,x,1,146073.988,583894.293,-0.297
south,t1,17,Mu,15,x,2,146070.435,583893.273,-0.267
south,t1,17,Mu,15,x,4,146059.884,583889.171,-0.261
south,t1,17,Mu,15,x,5,146056.924,583888.474,-0.254
south,t1,17,Mu,16,y,1,146073.274,583895.383,-0.262
south,t1,17,Mu,16,y,2,146069.989,583894.27,-0.268
south,t1,17,Mu,16,y,4,146059.75,583890.167,-0.256
south,t1,17,Mu,16,y,5,146056.265,583889.043,-0.257
south,t1,17,Mu,17,z,1,146073.227,583896.786,-0.268
south,t1,17,Mu,17,z,2,146069.566,583895.295,-0.251
south,t1,17,Mu,17,z,4,146059.303,583891.654,-0.261
south,t1,17,Mu,17,z,5,146056.633,583890.878,-0.252
south,t1,17,Mu,18,aa,1,146072.481,583898.257,-0.274
south,t1,17,Mu,18,aa,2,146069.079,583897.065,-0.296
south,t1,17,Mu,18,aa,4,146058.513,583892.988,-0.243
south,t1,17,Mu,18,aa,5,146055.544,583892.14,-0.26
south,t1,17,Mu,19,ab,1,146071.661,583899.855,-0.29
south,t1,17,Mu,19,ab,2,146068.74,583899.29,-0.259
south,t1,17,Mu,19,ab,4,146057.689,583896.325,-0.276
south,t1,17,Mu,19,ab,5,146054.821,583895.638,-0.264
south,t1,17,Mu,20,ac,1,146071.572,583900.174,-0.266
south,t1,17,Mu,20,ac,2,146067.987,583899.435,-0.259
south,t1,17,Mu,20,ac,4,146057.319,583898.227,-0.263
south,t1,17,Mu,20,ac,5,146053.66,583897.233,-0.254
south,t1,17,Mu,30,ad,1,146068.508,583909.777,-0.261
south,t1,17,Mu,30,ad,2,146064.857,583909.076,-0.264
south,t1,17,Mu,30,ad,4,146053.622,583907.139,-0.257
south,t1,17,Mu,30,ad,5,146051.077,583906.722,-0.264
south,t1,17,Mu,40,ae,1,146064.503,583917.872,-0.246
south,t1,17,Mu,40,ae,2,146061.833,583916.965,-0.275
south,t1,17,Mu,40,ae,4,146052.038,583914.594,-0.257
south,t1,17,Mu,40,ae,5,146049.123,583914.053,-0.249
south,t1,17,Mu,50,af,1,146061.959,583927.233,-0.245
south,t1,17,Mu,50,af,2,146058.332,583926.471,-0.25
south,t1,17,Mu,50,af,4,146049.442,583925.427,-0.257
south,t1,17,Mu,60,ag,1,146057.86,583937.057,-0.248
south,t1,17,Mu,60,ag,2,146054.332,583936.459,-0.254
south,t1,17,Mu,60,ag,4,146045.312,583934.779,-0.242
south,t1,17,Mu,60,ag,5,146042.333,583934.321,-0.222
south,t1,17,Mu,70,ah,1,146054.246,583948.199,-0.22
south,t1,17,Mu,70,ah,2,146050.279,583946.608,-0.228
south,t1,17,Mu,70,ah,4,146040.939,583943.886,-0.218
