Site ,Treatment,Plot ,Position ,Meters,Sticknumber,Before_weigh,After_weigh,Lost_weight,Retrieved,Note 
Southern ,Control,27,N,7.7,2,173,,,n,
Southern ,Control,18,A,-5,4,175,40,135,y,
Southern ,Control,18,Q,9.55,5,173,41,132,y,
Southern ,Control,18,J,4.7,10,167,40,127,y,
Southern ,Control,27,A,-5,11,169,32,137,y,
Southern ,Control,27,AC,20,12,170,33,137,y,
Southern ,Control,31,C,-0.1,15,151,,,n,
Southern ,Control,27,C,-0.1,21,179,,,n,
Southern ,Control,18,C,-0.1,25,170,37,133,y,
Southern ,Control,27,J,4.7,26,158,,,n,
Southern ,Control,27,Q,9.55,32,183,,,n,
Southern ,Control,31,A,-5,40,179,,,n,
Southern ,Control,31,AC,20,43,160,,,y,
Southern ,Control,23,AK,100,51,161,,,n,
Southern ,Control,31,N,7.7,53,185,,,n,
Southern ,Control,23,C,-0.1,54,168,,,n,washed away
Southern ,Control,18,AC,20,59,180,40,140,y,
Southern ,Control,31,Q,9.55,61,145,,,n,
Southern ,Control,18,N,7.7,67,158,,,y,
Southern ,Control,18,AK,100,74,164,,,n,
Southern ,Control,31,J,4.7,80,166,,,n,
Southern ,Control,23,A,-5,82,146,,,n,
Southern ,Control,31,AK,100,86,165,37,128,y,
Southern ,Control,23,N,7.7,91,177,,,y,digged in
Southern ,Control,23,Q,9.55,131,165,,,n,
Southern ,Control,23,AC,20,132,165,,,n,
Southern ,Control,23,J,4.7,144,154,,,n,
Southern ,Control,27,AK,100,145,168,,,n,
NMB,ControlNM,37,,20,16,157,25,132,y,
NMB,ControlNM,37,,0,41,163,25,138,y,bubbles
NMB,ControlNM,38,,50,76,149,22,127,y,
NMB,ControlNM,37,,50,84,172,29,143,y,
NMB,ControlNM,40,,50,116,156,32,,n,washed away
NMB,ControlNM,39,,50,117,156,,,n,
NMB,ControlNM,40,,20,118,172,29,143,y,
NMB,ControlNM,40,,-5,120,161,42,,y,digged in
NMB,ControlNM,39,,-5,121,133,21,112,y,bubbles
NMB,ControlNM,39,,5,122,169,,,n,
NMB,ControlNM,39,,0,123,167,16,151,y,
NMB,ControlNM,39,,20,124,166,25,141,y,
NMB,ControlNM,40,,0,125,166,24,142,y,
NMB,ControlNM,38,,0,126,167,,,y,found in place one day later 
NMB,ControlNM,38,,5,127,156,27,129,y,
NMB,ControlNM,38,,-5,128,170,25,145,y,
NMB,ControlNM,38,,1,129,179,31,148,y,
NMB,ControlNM,40,,1,130,150,28,122,y,
NMB,ControlNM,37,,1,134,180,29,151,y,
NMB,ControlNM,37,,5,135,161,28,133,y,
NMB,ControlNM,38,,20,136,161,23,138,y,
NMB,ControlNM,40,,5,137,145,,,n,
